path,label,patient
../data/BDP/non_seizure/9a2c49ea-789b-11ea-8178-e0d55e6ff654_pre-4300_4315.npy,non_seizure,BDP
../data/LK/non_seizure/3db2f0b5-789d-11ea-8178-e0d55e6ff654_pre-1957_1968.npy,non_seizure,LK
../data/LK/pre_seizure/f2adcd7b-789d-11ea-8178-e0d55e6ff654_pre-407_416.npy,pre_seizure,LK
../data/WSH/non_seizure/e974f1a8-78a1-11ea-8178-e0d55e6ff654_pre-316_325.npy,non_seizure,WSH
../data/BDP/non_seizure/993557f3-789b-11ea-8178-e0d55e6ff654_pre-4783_4786.npy,non_seizure,BDP
../data/ZK/non_seizure/54915d95-78a3-11ea-8178-e0d55e6ff654_pre-702_717.npy,non_seizure,ZK
../data/ZK/non_seizure/1a353743-78a4-11ea-8178-e0d55e6ff654_pre-272_278.npy,non_seizure,ZK
../data/WSH/non_seizure/e974f1dc-78a1-11ea-8178-e0d55e6ff654_pre-176_180.npy,non_seizure,WSH
../data/LK/non_seizure/25d13357-789d-11ea-8178-e0d55e6ff654_pre-613_627.npy,non_seizure,LK
../data/ZK/non_seizure/bdaf4f8b-78a3-11ea-8178-e0d55e6ff654_pre-541_555.npy,non_seizure,ZK
../data/WSH/non_seizure/e895d0ca-78a1-11ea-8178-e0d55e6ff654_pre-231_234.npy,non_seizure,WSH
../data/ZK/pre_seizure/841b954f-78a4-11ea-8178-e0d55e6ff654_pre-602_614.npy,pre_seizure,ZK
../data/LK/non_seizure/25d132b0-789d-11ea-8178-e0d55e6ff654_pre-227_239.npy,non_seizure,LK
../data/LK/non_seizure/c6f7f9f6-789c-11ea-8178-e0d55e6ff654_pre-743_745.npy,non_seizure,LK
../data/LK/non_seizure/25d1334e-789d-11ea-8178-e0d55e6ff654_pre-1868_1878.npy,non_seizure,LK
../data/ZK/pre_seizure/85077e5b-78a4-11ea-8178-e0d55e6ff654_pre-157_164.npy,pre_seizure,ZK
../data/BDP/non_seizure/b9448752-789b-11ea-8178-e0d55e6ff654_pre-146_153.npy,non_seizure,BDP
../data/WSH/non_seizure/e895cf88-78a1-11ea-8178-e0d55e6ff654_pre-603_607.npy,non_seizure,WSH
../data/WSH/non_seizure/e895d013-78a1-11ea-8178-e0d55e6ff654_pre-1342_1346.npy,non_seizure,WSH
../data/BDP/non_seizure/c64a6e29-789b-11ea-8178-e0d55e6ff654_pre-640_646.npy,non_seizure,BDP
../data/ZK/non_seizure/2bb996e2-78a4-11ea-8178-e0d55e6ff654_pre-422_431.npy,non_seizure,ZK
../data/BDP/pre_seizure/e9e60b38-789b-11ea-8178-e0d55e6ff654_pre-317_321.npy,pre_seizure,BDP
../data/WSH/non_seizure/08739be4-78a2-11ea-8178-e0d55e6ff654_pre-1290_1296.npy,non_seizure,WSH
../data/WSH/non_seizure/e974f195-78a1-11ea-8178-e0d55e6ff654_pre-1161_1167.npy,non_seizure,WSH
../data/ZK/pre_seizure/538ed292-78a4-11ea-8178-e0d55e6ff654_pre-229_234.npy,pre_seizure,ZK
../data/WSH/non_seizure/e974f14f-78a1-11ea-8178-e0d55e6ff654_pre-1154_1167.npy,non_seizure,WSH
../data/LK/non_seizure/25d13304-789d-11ea-8178-e0d55e6ff654_pre-255_264.npy,non_seizure,LK
../data/BDP/non_seizure/9a2c4944-789b-11ea-8178-e0d55e6ff654_pre-4278_4288.npy,non_seizure,BDP
../data/WSH/non_seizure/07430164-78a2-11ea-8178-e0d55e6ff654_pre-1302_1308.npy,non_seizure,WSH
../data/LK/non_seizure/c6f7fbab-789c-11ea-8178-e0d55e6ff654_pre-488_501.npy,non_seizure,LK
../data/ZK/pre_seizure/85077f47-78a4-11ea-8178-e0d55e6ff654_pre-455_465.npy,pre_seizure,ZK
../data/ZK/pre_seizure/538ed329-78a4-11ea-8178-e0d55e6ff654_pre-590_602.npy,pre_seizure,ZK
../data/LK/non_seizure/25d1330e-789d-11ea-8178-e0d55e6ff654_pre-1837_1845.npy,non_seizure,LK
../data/BDP/non_seizure/99355788-789b-11ea-8178-e0d55e6ff654_pre-6923_6928.npy,non_seizure,BDP
../data/ZK/non_seizure/d47ab3c9-78a3-11ea-8178-e0d55e6ff654_pre-760_769.npy,non_seizure,ZK
../data/LK/non_seizure/c6f7f9ba-789c-11ea-8178-e0d55e6ff654_pre-877_880.npy,non_seizure,LK
../data/LK/non_seizure/f818bc59-789c-11ea-8178-e0d55e6ff654_pre-1946_1954.npy,non_seizure,LK
../data/WSH/non_seizure/03b443b9-78a2-11ea-8178-e0d55e6ff654_pre-805_819.npy,non_seizure,WSH
../data/BDP/non_seizure/9a2c48e5-789b-11ea-8178-e0d55e6ff654_pre-5939_5948.npy,non_seizure,BDP
../data/WSH/non_seizure/04e4dbb1-78a2-11ea-8178-e0d55e6ff654_pre-687_689.npy,non_seizure,WSH
../data/BDP/non_seizure/99355756-789b-11ea-8178-e0d55e6ff654_pre-1323_1333.npy,non_seizure,BDP
../data/BDP/non_seizure/9a2c48e0-789b-11ea-8178-e0d55e6ff654_pre-491_499.npy,non_seizure,BDP
